run_id,instance_id,family,source,instance_seed,search_seed,repetition,algorithm,mode,budget_ms,status,termination,initialization,full_feasible,route_constraints_valid,orders_total,orders_fully_served,orders_missing,packages_total,packages_covered_on_time,coverage_orders_pct,orders_provably_unservable,servable_orders_fully_served,coverage_servable_pct,full_servable_feasible,cost_complete_feasible,cost_raw_do_not_rank_incomplete,distance_km,routes,elapsed_ms,time_first_complete_ms,initialization_ms,final_audit_ms,iterations,neighbor_attempts,invalid_neighbors,accepted_neighbors,plan_evaluations,route_schedules,path_queries,heap_sampled_peak_mib,input_sha256,plan_sha256,config_sha256,algorithm_version,detail
"S02-r2-b20000-GRASP","S02","NORMAL","SYNTHETIC","5101","73","2","GRASP","TIME","20000","OK","TIME_LIMIT","INTEGRATED","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","7902.000000","7902.000000","1552.000000","14","20011.607300","179.678500","","25.871000","422","0","0","0","843","767257","10887716","325.198692","c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47","e6d85a87f0efe6d8530facb8f6ec013b7e282ab285a8631701bfd9e3e1e75d5e","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S02-r2-b20000-SA","S02","NORMAL","SYNTHETIC","5101","73","2","SA","TIME","20000","OK","RETURNED","BUILT","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","17876.000000","17876.000000","3257.000000","37","2459.846500","43.360100","43.714100","31.433500","6750","6750","2824","1100","4846","179286","1204487","84.069984","c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47","300ed9c445f6ec8de475816ff551a3092d4b0d426d341ba3ef91ce8ed08ba940","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"S02-r3-b20000-SA","S02","NORMAL","SYNTHETIC","5101","101","3","SA","TIME","20000","OK","RETURNED","BUILT","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","18856.000000","18856.000000","3300.000000","37","2234.296700","29.384400","29.770600","34.548900","6750","6750","2762","1132","4772","176541","1184877","72.876274","c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47","5b7f23a7b0e80d93b3f90a6156da52b1e7b07cad53c39543e8720e23a787a11d","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"S02-r3-b20000-GRASP","S02","NORMAL","SYNTHETIC","5101","101","3","GRASP","TIME","20000","OK","TIME_LIMIT","INTEGRATED","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","7920.000000","7920.000000","1568.000000","15","20016.945400","164.780800","","28.883100","492","0","0","0","983","889955","12678151","327.310905","c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47","b543011009c5d937d41bf04a66aead9f2f497afd7aff3af256d10bf4de8b1832","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S03-r1-b5000-GRASP","S03","NORMAL","SYNTHETIC","5102","42","1","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","96","96","0","409","409","100.000000","0","96","100.000000","true","12804.000000","12804.000000","2638.000000","24","5001.127000","274.482200","","48.782600","19","0","0","0","37","160600","1810894","227.184921","af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347","e02d28e5b61c336cfce4cb333b705ba344ffbe3f079247faa409fa555c8232d3","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S03-r1-b5000-SA","S03","NORMAL","SYNTHETIC","5102","42","1","SA","TIME","5000","NO_INITIAL_PLAN","NO_INITIAL_PLAN","FAILED","false","true","96","0","96","409","0","0.000000","0","0","0.000000","false","","0.000000","0.000000","0","39.744600","","39.590800","39.994800","0","0","0","0","1","37","214","3.720154","af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor did not find a complete feasible initial plan; NOT proof of infeasibility"
"S03-r2-b5000-SA","S03","NORMAL","SYNTHETIC","5102","73","2","SA","TIME","5000","NO_INITIAL_PLAN","NO_INITIAL_PLAN","FAILED","false","true","96","0","96","409","0","0.000000","0","0","0.000000","false","","0.000000","0.000000","0","47.023500","","46.843900","46.583000","0","0","0","0","1","37","214","3.716949","af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor did not find a complete feasible initial plan; NOT proof of infeasibility"
"S03-r2-b5000-GRASP","S03","NORMAL","SYNTHETIC","5102","73","2","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","96","96","0","409","409","100.000000","0","96","100.000000","true","13234.000000","13234.000000","2668.000000","26","5001.100900","298.395500","","42.719800","14","0","0","0","27","134309","1571087","210.613503","af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347","5d6b205a7654c1e9cfa0a76cfadcfbda6b756d7873e9f855ca64b4e0a61f6044","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S03-r3-b5000-GRASP","S03","NORMAL","SYNTHETIC","5102","101","3","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","96","96","0","409","409","100.000000","0","96","100.000000","true","12936.000000","12936.000000","2638.000000","26","5000.944200","256.884000","","38.450600","17","0","0","0","33","144746","1645357","203.270363","af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347","75427d7ea28f915f8449885fcc090c796c4ad4a92ff8643fbc73d6538ace7253","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S03-r3-b5000-SA","S03","NORMAL","SYNTHETIC","5102","101","3","SA","TIME","5000","NO_INITIAL_PLAN","NO_INITIAL_PLAN","FAILED","false","true","96","0","96","409","0","0.000000","0","0","0.000000","false","","0.000000","0.000000","0","52.577600","","52.406000","56.100200","0","0","0","0","1","37","214","3.719429","af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor did not find a complete feasible initial plan; NOT proof of infeasibility"
"S03-r1-b20000-GRASP","S03","NORMAL","SYNTHETIC","5102","42","1","GRASP","TIME","20000","OK","TIME_LIMIT","INTEGRATED","true","true","96","96","0","409","409","100.000000","0","96","100.000000","true","12664.000000","12664.000000","2620.000000","24","20000.336500","259.313100","","34.787800","93","0","0","0","185","835448","9466211","311.200607","af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347","2634b494937dd53398b1d1e4314e1e0f3845e3165d88b1ab2ccf38f7e200a6f7","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
